Angar the Screamer, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Angar_the_Screamer 
Angel, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Angel 
Angel Dust, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Angel_Dust 
Angela, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Angela 
Dirk Anger, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Dirk_Anger 
Ani-Mator, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ani-Mator 
Annalee, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Annalee 
Annex, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Annex 
Annihilation, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Annihilation 
Annihilus, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Annihilus 
Anole, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Anole 
Answer, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Answer 
Anthem, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Anthem 
Ant Ant, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ant_Ant 
Ant-Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ant-Man 
Anti-Venom, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Anti-Venom 
Apache Kid, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Apache_Kid 
Ape, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ape 
Ape-Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ape-Man 
Ape-X, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ape-X 
Apex, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Apex 
Apocalypse, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Apocalypse 
Apollo, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Apollo 
Aquarius, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aquarius 
Aqueduct, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aqueduct 
Arabian Knight, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arabian_Knight 
Aragorn, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aragorn 
Arakko, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arakko 
Arcade, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arcade 
Arcanna, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arcanna 
Arclight, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arclight 
Ares, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ares 
Ariel, of the Coconut Grove, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Ariel,_of_the_Coconut_Grove 
Aries, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aries 
Arishem the Judge, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arishem_the_Judge 
Arkon, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arkon 
